topic,keyword,definition
A-Software,Virtual Memory,Uses part of the hard disk as temporary RAM when physical memory is full.
A-Software,Disk Thrashing,Occurs when excessive swapping between RAM and virtual memory slows the system.
A-Software,BIOS,Firmware that performs Power-On Self Test (POST) and loads the OS during startup.
A-Software,Virtual Machine (VM),A software-based emulation of a physical computer, allowing multiple OSs to run simultaneously.
A-Software,Device Driver (detailed),Specialized software that allows the OS to communicate with hardware components (e.g. printers, GPUs).
A-Exchanging Data,Compression,The process of reducing file size to speed up data transfer and save storage space. It improves transmission times and reduces bandwidth usage. Example: compressing images or videos for web streaming.
A-Exchanging Data,Lossy Compression,A compression method that discards some data to significantly reduce file size. It is irreversible and commonly used for media files like MP3s, JPEGs, or streaming video where perfect accuracy is not critical.
A-Exchanging Data,Lossless Compression,A method that compresses data without any loss of information, allowing it to be perfectly restored. Used for text files, databases, and applications where data integrity is essential (e.g., ZIP files).
A-Exchanging Data,Run Length Encoding (RLE),A simple lossless compression method that replaces consecutive repeating elements with a count and value. Example: 'AAAABBBCCDAA' becomes '4A3B2C1D2A'. Common in bitmap images where pixel colors repeat.
A-Exchanging Data,Dictionary Coding,Compression method that replaces recurring sequences with shorter, unique codes stored in a dictionary. Example: Replacing repeated words like 'QuickSort' with a single letter code. Widely used in text and data compression algorithms such as LZ77.
A-Exchanging Data,Encryption,The process of converting readable data (plaintext) into unreadable form (ciphertext) to prevent unauthorized access. Used in secure communication, banking, and data storage. Example: HTTPS encryption when sending web data.
A-Exchanging Data,Symmetric Encryption,Encryption where the same key is used for both encryption and decryption. It is fast and efficient for large data (e.g., AES) but requires secure key sharing between parties.
A-Exchanging Data,Asymmetric Encryption,Encryption that uses two keys: a public key for encryption and a private key for decryption. More secure but slower. Used in digital signatures, SSL/TLS, and secure communications like banking logins.
A-Exchanging Data,Public Key,A key used in asymmetric encryption to encrypt data. It is shared openly and paired with a private key for decryption.
A-Exchanging Data,Private Key,The secret key in asymmetric encryption used to decrypt data encrypted with the corresponding public key. Must be kept secure by the owner.
A-Exchanging Data,Key Exchange Problem,A challenge in symmetric encryption where securely transmitting the shared key to both sender and receiver can expose data if intercepted.
A-Exchanging Data,Hashing,A one-way process that converts input data into a fixed-length string (hash digest). Used for data verification and password storage. Example: hashing a password before storing it in a database.
A-Exchanging Data,Hash Digest,The fixed-size output string generated by a hash function, representing the input data in condensed form.
A-Exchanging Data,MD5,Message Digest 5 — a hashing algorithm producing 128-bit hashes. Fast but insecure due to vulnerability to collisions. Historically used in checksums.
A-Exchanging Data,SHA-1,Secure Hash Algorithm 1 — creates 160-bit hashes. Previously used in SSL and software verification but now deprecated due to security flaws.
A-Exchanging Data,SHA-256,Part of the SHA-2 family — generates a 256-bit hash. Commonly used in digital signatures, blockchain, and password protection.
A-Exchanging Data,SHA-3,Newest member of the SHA family offering improved resistance to collision and preimage attacks. Suitable for modern cryptographic applications.
A-Exchanging Data,Collision,Occurs when two different inputs produce the same hash output, reducing hash function reliability. Strong algorithms minimize this risk.
A-Exchanging Data,Password Hashing,The practice of storing passwords as hash digests instead of plaintext. When users log in, their entered password is hashed and compared with the stored hash. Prevents exposure in data breaches.
A-Exchanging Data,Data Integrity,Ensuring data remains accurate and unaltered during transfer or storage. Verified using hashing — matching hash digests confirm data authenticity.
A-Exchanging Data,Hash Table,A data structure using hashing to enable fast data retrieval. Example: using email hash values to quickly find users in a database.
A-Exchanging Data,Data Verification,Checking data accuracy using hashing or checksums. For instance, comparing file hashes before and after transmission ensures integrity.
A-Exchanging Data,Encryption vs Hashing,Encryption is reversible (data can be decrypted) and used for confidentiality, while hashing is one-way and used for verification or authentication.
A-Exchanging Data,Symmetric Encryption Use Cases,Used for encrypting large files and databases efficiently, where both encryption and decryption are handled by the same entity.
A-Exchanging Data,Asymmetric Encryption Use Cases,Used for secure communication between parties, digital signatures, and authentication, such as SSL certificates and email encryption.
A-Exchanging Data,Hashing in Databases,Used to speed up data lookups. Example: using hash digests of user emails as keys for faster retrieval in hash tables.
A-Exchanging Data,Integrity Check,The process of verifying that data has not been altered during transmission. Achieved by comparing hash digests before and after transfer.
A-Exchanging Data,Compression Ratio,A metric describing how much a file’s size is reduced through compression. Example: 4:1 means the compressed file is one-fourth the original size.
A-Web Languages,HTML (HyperText Markup Language),The standard markup language for creating web pages and structuring content. Example: &lt;html&gt;...&lt;/html&gt; defines the structure of an HTML document.
A-Web Languages,<html> Tag,The root element of an HTML page containing all other tags. Example: &lt;html&gt;...&lt;/html&gt;
A-Web Languages,<head> Tag,Contains metadata, title, styles, and links to external resources. Example: &lt;head&gt;&lt;title&gt;Home&lt;/title&gt;&lt;/head&gt;
A-Web Languages,<title> Tag,Sets the page title shown in the browser tab. Example: &lt;title&gt;Home&lt;/title&gt;
A-Web Languages,<body> Tag,Holds all the visible page content. Example: &lt;body&gt;&lt;h1&gt;Welcome&lt;/h1&gt;&lt;/body&gt;
A-Web Languages,<h1>–<h6> Tags,Heading tags used for page titles and section headings. &lt;h1&gt; is largest and &lt;h6&gt; is smallest. Example: &lt;h2&gt;Subheading&lt;/h2&gt;
A-Web Languages,<p> Tag,Defines a paragraph. Example: &lt;p&gt;This is a paragraph.&lt;/p&gt;
A-Web Languages,<a> Tag (Anchor),Creates a hyperlink to another page or site. Example: &lt;a href=&quot;https://example.com&quot;&gt;Visit Site&lt;/a&gt;
A-Web Languages,<img> Tag,Displays an image with attributes (src, alt, width/height). Example: &lt;img src=&quot;logo.png&quot; alt=&quot;Logo&quot; width=&quot;100&quot;&gt;
A-Web Languages,<div> Tag,Groups elements for styling or scripting. Example: &lt;div class=&quot;container&quot;&gt;&lt;/div&gt;
A-Web Languages,<form> Tag,Collects user input. Example: &lt;form action=&quot;/submit&quot; method=&quot;post&quot;&gt;&lt;/form&gt;
A-Web Languages,<input> Tag,Defines input fields. Example: &lt;input type=&quot;text&quot; name=&quot;user&quot;&gt; (also &lt;input type=&quot;submit&quot; value=&quot;Send&quot;&gt;)
A-Web Languages,<ul> & <ol> Tags,Define unordered (bulleted) and ordered (numbered) lists. Example: &lt;ul&gt;&lt;li&gt;Item&lt;/li&gt;&lt;/ul&gt;
A-Web Languages,<li> Tag,Defines an item inside a list. Example: &lt;li&gt;Item&lt;/li&gt;
A-Web Languages,<script> Tag,Embeds or links JavaScript. Example: &lt;script&gt;alert(&quot;Hi!&quot;);&lt;/script&gt;
A-Web Languages,CSS (Cascading Style Sheets),Controls layout, color, and fonts of HTML elements. Example: h1 { color: blue; }
A-Web Languages,Inline CSS,CSS written directly in a tag’s style attribute. Example: &lt;p style=&quot;color:red;&quot;&gt;Text&lt;/p&gt;
A-Web Languages,Internal CSS,CSS written inside a &lt;style&gt; tag in the &lt;head&gt;. Example: &lt;style&gt;body {background: yellow;}&lt;/style&gt;
A-Web Languages,External CSS,CSS in a separate file linked to the HTML. Example: &lt;link rel=&quot;stylesheet&quot; href=&quot;styles.css&quot;&gt;
A-Web Languages,.class Selector,Targets elements sharing a class attribute. Example: .note { color: green; }
A-Web Languages,#id Selector,Targets a single unique element. Example: #header { background: gray; }
A-Web Languages,Common CSS Properties,background-color, border-style, border-color, border-width, color (named or hex), font-family, font-size, height, width.
A-Web Languages,JavaScript,A scripting language for dynamic, interactive web pages. Example: alert(&quot;Hello World!&quot;);
A-Web Languages,JavaScript Input,Reads user input from forms/DOM. Example: let name = document.getElementById(&quot;user&quot;).value;
A-Web Languages,JavaScript Output (DOM),Updates page content dynamically. Example: document.getElementById(&quot;out&quot;).innerHTML = &quot;Hi!&quot;;
A-Web Languages,document.write(),Writes text directly into the document stream. Example: document.write(&quot;Loaded&quot;);
A-Web Languages,alert(),Shows a popup message to the user. Example: alert(&quot;Hello World!&quot;);
A-Web Languages,DOCTYPE Declaration,Specifies the HTML version. Example: &lt;!DOCTYPE html&gt; (HTML5).
A-Web Languages,HTML Structure Example,&lt;!DOCTYPE html&gt;&lt;html&gt;&lt;head&gt;&lt;title&gt;Page&lt;/title&gt;&lt;/head&gt;&lt;body&gt;&lt;h1&gt;Welcome&lt;/h1&gt;&lt;/body&gt;&lt;/html&gt;
A-Web Languages,Web Languages Integration,HTML provides structure, CSS adds presentation, and JavaScript enables interactivity—together forming complete web apps.
A-Networks,Network,A group of interconnected computers that share resources, data, and services.
A-Networks,Client,A computer that accesses resources or services provided by a server.
A-Networks,Server,A central computer that manages network resources and services for clients.
A-Networks,Peer-to-Peer (P2P),A network model where all computers have equal status and share resources directly.
A-Networks,Client-Server Network,A network model where a central server manages resources and security for connected clients.
A-Networks,Resource Sharing,Users can share printers, files, and internet access.
A-Networks,Centralized Management,Administrators can manage users, permissions, and security from one location.
A-Networks,Backup,Data can be backed up centrally at the server.
A-Networks,High Setup Cost,Requires servers, network cards, and cabling.
A-Networks,Maintenance Complexity,Needs skilled professionals to manage.
A-Networks,Security Risk,Connected systems are vulnerable to hackers.
A-Networks,Network Failure,If the server fails, all connected clients may lose access.
A-Networks,Packet Switching,Data is divided into packets sent independently across the network and reassembled at the destination.
A-Networks,Circuit Switching,A dedicated communication path is established for the duration of a connection.
A-Networks,Header,Contains source and destination addresses and sequencing info.
A-Networks,Payload,The actual data being transmitted.
A-Networks,Footer (Trailer),Used for error-checking and marking the end of a packet.
A-Networks,Checksum,A calculated value used to verify data integrity during transmission.
A-Networks,Parity Bit,An extra bit added to detect transmission errors (even or odd parity).
A-Networks,Serial Transmission,Sends bits one after another over a single channel (reliable over long distances).
A-Networks,Parallel Transmission,Sends multiple bits simultaneously using several wires (faster but limited distance).
A-Networks,Simplex Transmission,One-way communication (e.g., keyboard to CPU).
A-Networks,Half Duplex,Two-way communication, one direction at a time (e.g., walkie-talkie).
A-Networks,Full Duplex,Two-way communication simultaneously (e.g., telephone).
A-Networks,Router,Connects networks and directs data packets based on IP addresses.
A-Networks,Switch,Connects devices within a network and forwards data based on MAC addresses.
A-Networks,Bridge,Connects and filters traffic between two local area networks.
A-Networks,Gateway,Connects different types of networks and translates protocols.
A-Networks,Repeater,Strengthens and retransmits weak signals.
A-Networks,Firewall,Monitors and blocks unauthorized network traffic.
A-Networks,Wireless Access Point (WAP),Enables wireless devices to connect to a wired network.
A-Networks,Network Interface Card (NIC),Hardware that allows a computer to connect to a network and assigns a MAC address.
A-Networks,Ethernet Cable,Physical cable used to connect devices in a wired network.
A-Networks,Protocol,A set of rules governing data communication between devices.
A-Networks,HTTP,Transfers web pages across the internet.
A-Networks,HTTPS,Secure version of HTTP using encryption (SSL/TLS).
A-Networks,FTP,Transfers files between systems.
A-Networks,TCP,Ensures reliable, ordered data delivery.
A-Networks,UDP,Fast, connectionless transmission ideal for streaming or gaming.
A-Networks,IP,Handles addressing and routing of packets.
A-Networks,SMTP,Sends emails between mail servers.
A-Networks,POP3,Downloads emails from a mail server to a local device.
A-Networks,IMAP,Allows email synchronization across multiple devices.
A-Networks,Application Layer,Determines which protocol to use based on the application (e.g., HTTP, FTP).
A-Networks,Transport Layer,Splits data into packets and ensures reliable delivery using TCP or UDP.
A-Networks,Network Layer,Adds IP addresses for routing packets between devices.
A-Networks,Link Layer,Manages the physical connection and includes MAC addressing.
A-Networks,Malware,Harmful software that damages or steals data.
A-Networks,Phishing,Fraudulent attempts to steal sensitive information via fake emails or websites.
A-Networks,DDoS,Overwhelms a network with traffic to cause disruption.
A-Networks,Man-in-the-Middle Attack (MITM),Interception and alteration of communication between two parties.
A-Networks,Unauthorized Access,Intruders gaining access to systems or data without permission.
A-Networks,Data Breach,Unauthorized access or disclosure of sensitive data.
A-Networks,Ransomware,Malicious software that locks files until a ransom is paid.
A-Networks,Wi-Fi Threats,Risks from unsecured wireless networks.
A-Networks,Social Engineering,Manipulating people into revealing confidential information.
A-Networks,VPN,Encrypts internet activity and hides IP addresses for secure browsing.
A-Networks,Proxy Server,Acts as an intermediary to filter and manage network requests.
A-Networks,DNS,Translates domain names (like www.example.com) into IP addresses.
A-Networks,DNS Resolver,Checks local cache for stored IPs before querying servers.
A-Networks,TLD Name Server,Handles top-level domains like .com, .org.
A-Networks,Authoritative Name Server,Holds the official IP address for a domain.
A-Networks,DNS Caching,Temporary storage of resolved domain names for faster access.
A-Boolean Logic,Boolean Logic,A system of algebra for variables with two values (0/1, false/true) used to model logical operations and digital circuits.
A-Boolean Logic,AND (∧),Binary operator outputting 1 only if both inputs are 1. Truth table: (0,0→0), (0,1→0), (1,0→0), (1,1→1).
A-Boolean Logic,OR (∨),Binary operator outputting 1 if at least one input is 1. Truth table: (0,0→0), (0,1→1), (1,0→1), (1,1→1).
A-Boolean Logic,XOR (exclusive OR, ⊻),Binary operator outputting 1 if exactly one input is 1 (not both). Truth table: (0,0→0), (0,1→1), (1,0→1), (1,1→0).
A-Boolean Logic,NOT (¬),Unary operator that inverts the input: 0→1, 1→0.
A-Boolean Logic,NAND,NOT-AND; outputs 0 only when both inputs are 1. Truth table: (0,0→1), (0,1→1), (1,0→1), (1,1→0).
A-Boolean Logic,Equivalence (≡),Logical equality: A ≡ B is true when A and B have the same truth value.
A-Boolean Logic,Truth Table,A tabular method listing all input combinations and corresponding output(s) for a logical expression or circuit.
A-Boolean Logic,Logic Expression,Algebraic form combining variables and operators (e.g., Q = ¬A ∨ (B ∧ C)); brackets evaluated first.
A-Boolean Logic,Logic Diagram,Gate-level circuit representation corresponding to a Boolean expression; can be translated both ways.
A-Boolean Logic,Constructing Expressions from Diagrams,Identify sub-expressions at gate inputs (e.g., (A AND B), (B AND NOT C)) then combine via the output gate (OR): P = (A ∧ B) ∨ (B ∧ ¬C).
A-Boolean Logic,Problem Definition with Logic,Real-world rules described with Boolean variables, e.g., valve closes (V) if temperature high (T) OR pressure high (P): V = T ∨ P.
A-Boolean Logic,Karnaugh Map (K-Map),A visual simplification tool arranging truth values so adjacent cells differ by one bit; used to group 1s and minimize expressions (2–4 variables commonly).
A-Boolean Logic,Simplifying Boolean Expressions,Apply algebraic laws to reduce expressions (fewer gates/inputs).
A-Boolean Logic,D-Type Flip-Flop,Sequential circuit storing 1 bit; output Q takes input D on the active clock edge (rising edge), holding value until next edge.
A-Boolean Logic,Clock (for Flip-Flops),Periodic timing signal controlling when state changes occur; D-type changes only on rising edge.
A-Computational Methods,Backtracking,A recursive algorithmic technique that incrementally builds a solution by exploring possible options. If a path is found invalid, the algorithm backtracks to the previous step to try another route. It’s considered an 'organised brute-force' approach, often used in maze-solving, constraint satisfaction problems like Sudoku, or pathfinding algorithms.
A-Computational Methods,Data Mining,The process of discovering patterns, correlations, or anomalies in large datasets, often from multiple sources (big data). Used in business, marketing, and science to make predictions and identify hidden trends. Example: analysing customer purchase data to recommend products or detect fraudulent activity.
A-Computational Methods,Heuristics,A problem-solving technique that uses experience-based rules or 'educated guesses' to find approximate solutions quickly. Used where an optimal solution would take too long to compute. Examples: used in route planning (A* algorithm), AI decision-making, and NP-hard problems like the Travelling Salesman.
A-Computational Methods,Performance Modelling,A mathematical or computational approach used to simulate system behaviour under various loads before real-world implementation. Helps predict performance and identify bottlenecks. Used for safety-critical systems (like air traffic control or medical devices) where testing under failure conditions is impractical.
A-Computational Methods,Pipelining,A technique that divides a process into smaller stages executed in parallel, where the output of one stage becomes the input for the next. Commonly used in RISC processors to execute multiple instructions simultaneously during different parts of the Fetch-Decode-Execute cycle. Also used in data processing and manufacturing for efficiency.
A-Computational Methods,Visualisation,The graphical representation of data using charts, graphs, and other visuals to simplify interpretation. Helps identify trends, correlations, and outliers that are difficult to spot in raw data. Used in data analysis dashboards, scientific simulations, and business intelligence reporting.
A-Programming,Variable,A named memory location used to store data that can change during runtime.
A-Programming,Constant,A named memory location that stores data that remains unchanged throughout program execution.
A-Programming,Local Variable,A variable accessible only within the subroutine where it is created.
A-Programming,Global Variable,A variable accessible from any part of the program.
A-Programming,Scope,The section of code where a variable can be accessed.
A-Programming,Data Type,Defines the kind of value a variable can hold (e.g., integer, string, boolean).
A-Programming,Integer,Whole numbers (e.g., 10).
A-Programming,Float / Real,Numbers with decimal points (e.g., 3.14).
A-Programming,Character,A single letter, number, or symbol (e.g., ‘A’).
A-Programming,String,A sequence of characters (e.g., “Hello”).
A-Programming,Boolean,Data type with only two values: True or False.
A-Programming,Subroutine,A block of code designed to perform a specific task.
A-Programming,Procedure,A subroutine that performs a task but does not return a value.
A-Programming,Function,A subroutine that performs a task and returns a value.
A-Programming,Parameter,A variable used to pass data into a subroutine.
A-Programming,Argument,The actual value supplied to a parameter when a subroutine is called.
A-Programming,Passing by Value,A copy of the data is passed; changes inside the subroutine do not affect the original value.
A-Programming,Passing by Reference,The address of the data is passed; changes inside the subroutine affect the original value.
A-Programming,Sequence,Executing statements one after another in order.
A-Programming,Selection,Using conditions (e.g., IF statements) to make decisions.
A-Programming,Iteration,Repeating a set of statements (e.g., FOR, WHILE loops).
A-Programming,Count-Controlled Loop,Executes a fixed number of times (e.g., FOR loop).
A-Programming,Condition-Controlled Loop,Repeats until a condition is met (e.g., WHILE loop).
A-Programming,Do Until Loop,Executes code at least once, then checks the condition (not supported in Python).
A-Programming,Arithmetic Operators,Perform math operations (+, -, *, /, %, **, //).
A-Programming,Relational Operators,Compare values (<, >, ==, !=, <=, >=).
A-Programming,Boolean Operators,Combine logical conditions (AND, OR, NOT).
A-Programming,Array,Stores multiple items of the same type under one name with fixed size.
A-Programming,List,Dynamic data structure that can grow or shrink, storing mixed data types.
A-Programming,Tuple,Immutable sequence of elements; cannot be changed after creation.
A-Programming,Record,Stores multiple related data items (of possibly different types) under one structure.
A-Programming,Array of Records,A collection of multiple records stored in an array.
A-Programming,Concatenation,Joining strings together.
A-Programming,Substring,Extracting part of a string using slicing.
A-Programming,len(),Returns string length.
A-Programming,asc() / ord(),Converts a character to its ASCII code.
A-Programming,chr(),Converts ASCII code to a character.
A-Programming,str(), int(), float(),Type conversion functions.
A-Programming,open(filename, mode),Opens a file with a specific mode (r, w, a).
A-Programming,r (read),Opens a file for reading.
A-Programming,w (write),Opens a file for writing (overwrites existing file).
A-Programming,a (append),Adds data to the end of the file.
A-Programming,read(),Reads the entire file as a string.
A-Programming,readline(),Reads one line at a time.
A-Programming,readlines(),Reads all lines into a list.
A-Programming,write(),Writes data to a file.
A-Programming,writelines(),Writes a list of strings to a file.
A-Programming,Recursion,When a function calls itself to solve smaller instances of a problem.
A-Programming,Base Case,The stopping condition for a recursive function.
A-Programming,Stack Overflow,Error caused when recursion runs too deep.
A-Programming,Normal Data,Expected valid inputs for testing.
A-Programming,Erroneous Data,Clearly invalid inputs for testing.
A-Programming,Boundary Data,Values on the edge of valid ranges for testing.
A-Programming,Syntax Error,Prevents code from running due to incorrect syntax.
A-Programming,Runtime Error,Occurs while the program is running.
A-Programming,Logic Error,Program runs but gives incorrect output.
A-Programming,Debugging,The process of finding and fixing program errors.
A-Programming,Error Diagnostics,Identifies and describes code errors.
A-Programming,Breakpoints,Stops execution at specific points to inspect variables.
A-Programming,Syntax Highlighting,Color-coding for easy readability of code.
A-Programming,Variable Watch Window,Monitors variable values during execution.
A-Programming,Auto-complete,Suggests code as you type.
A-Programming,Step-through Execution,Runs code line by line for debugging.
A-Programming,Programming Standards,Set of rules to make code readable, consistent, and maintainable (naming, indentation, commenting).
A-OOP,Class,A blueprint for creating objects that defines attributes (data) and methods (behaviour).
A-OOP,Object,An instance of a class with specific values for its attributes.
A-OOP,Encapsulation,Hiding an object’s data and allowing controlled access only through methods (getters and setters).
A-OOP,Inheritance,When a child class inherits attributes and methods from a parent class, promoting code reuse.
A-OOP,Polymorphism,The ability for methods to take multiple forms (via method overloading or overriding).
A-OOP,Abstraction,Hiding complex implementation details and exposing only essential features.
A-OOP,Method,A function defined inside a class that describes an object’s behaviour.
A-OOP,Constructor,A special method automatically called when an object is created; used to initialise attributes.
A-OOP,Getter (Accessor),A method that retrieves the value of an attribute.
A-OOP,Setter (Mutator),A method that updates the value of an attribute.
A-OOP,Method Overriding,When a child class redefines a method inherited from the parent class to change its behaviour.
A-OOP,Method Overloading,When multiple methods share the same name but have different parameters.
A-OOP,Public,Attributes or methods that can be accessed from anywhere in the program.
A-OOP,Private,Attributes or methods that can only be accessed within the same class.
A-OOP,Protected,Attributes or methods that can be accessed within the class and its subclasses.
A-OOP,Parent Class (Super Class),The class whose features are inherited by another class.
A-OOP,Child Class (Subclass),The class that inherits properties and methods from a parent class.
A-OOP,super(),A function used to call methods or constructors from the parent class within a child class.
A-OOP,Encapsulation (Principle),Protects data from being directly modified, improving security and integrity.
A-OOP,Abstraction (Principle),Simplifies complexity by exposing only necessary parts of the code.
A-OOP,Inheritance (Principle),Promotes reusability and allows extension of existing code without rewriting.
A-OOP,Polymorphism (Principle),Enhances flexibility by allowing one interface to be used for multiple data types or actions.
A-OOP,Overriding Example,Occurs when a subclass provides a specific implementation of a method that is already defined in its superclass.
A-OOP,Overloading Example,Occurs when multiple methods have the same name but differ in parameter type or number.
A-OOP,Getter and Setter Example,Methods used to retrieve and update private attributes to maintain encapsulation.
A-OOP,Constructor Example,A special method that is automatically called when a new object is created to initialise data attributes.
A-Data Structures,Array,A fixed-size data structure that stores multiple items of the same data type under one variable name. Each element is accessed using an index starting from 0.
A-Data Structures,1D Array,A one-dimensional array stores a list of data in a single line, such as [10, 20, 30, 40]. It allows easy sequential access but has a fixed length.
A-Data Structures,2D Array,A two-dimensional array is a collection of rows and columns, similar to a table or matrix. Each element is accessed using two indices, e.g., array[row][column].
A-Data Structures,Dynamic Array,An array that can grow or shrink in size during runtime, allowing flexible memory use (as seen in languages like Python with lists).
A-Data Structures,Static Array,An array with a fixed size defined at creation time. Memory cannot be adjusted once allocated.
A-Data Structures,Index,The position of an element in an array or list. Indexing allows direct access to any element (e.g., array[2] retrieves the third item).
A-Data Structures,Traversal,The process of visiting and accessing each element in a data structure sequentially, typically using a loop.
A-Data Structures,Insertion (Array),Adding a new element into an array at a specific index, which may require shifting elements to make space.
A-Data Structures,Deletion (Array),Removing an element from an array, followed by shifting the remaining elements to fill the gap.
A-Data Structures,Advantages of Arrays,Provide fast, direct access using indices and efficient storage for fixed-size collections.
A-Data Structures,Disadvantages of Arrays,Fixed size; adding or removing elements requires shifting, which can be slow for large arrays.
A-Data Structures,List,An ordered, dynamic collection of elements that can store different data types. Lists can grow or shrink as needed, unlike arrays.
A-Data Structures,Advantages of Lists,Dynamic resizing, can store mixed data types, and supports built-in functions for easy manipulation.
A-Data Structures,Disadvantages of Lists,Slower access times compared to arrays due to dynamic memory management and type flexibility.
A-Data Structures,Tuple,An ordered, immutable collection of elements. Once created, its elements cannot be modified. Ideal for storing fixed data like coordinates (x, y).
A-Data Structures,Advantages of Tuples,Faster than lists, use less memory, and are immutable for safety and reliability in fixed data storage.
A-Data Structures,Disadvantages of Tuples,Cannot change, add, or remove items once created, limiting flexibility.
A-Data Structures,Record,A data structure that stores related fields of possibly different data types under one name, e.g., a student record with name, age, and grade.
A-Data Structures,Field,An individual piece of data within a record, representing one attribute of an entity (e.g., ‘Name’ or ‘Age’).
A-Data Structures,Accessing Record Data,Data is accessed using field names rather than indices, e.g., student.name or record['Age'].
A-Data Structures,Advantages of Records,Allow grouping of related but different data types; easier to understand and maintain structured information.
A-Data Structures,Disadvantages of Records,Cannot perform mathematical operations directly; less efficient for iterative numeric computations.
A-Data Structures,Mutable Data Structure,A data structure that allows modification of its content after creation (e.g., lists, arrays).
A-Data Structures,Immutable Data Structure,A data structure whose content cannot be changed after creation (e.g., tuples, strings).
A-Data Structures,Array Traversal Example,For i in range(0, length): print(array[i]) – accesses each element in order.
A-Data Structures,Record Example,student = {Name: 'Alice', Age: 17, Grade: 'A'} – demonstrates how different data types can be stored together.
A-Data Structures,Real-world Example (Array),Used in game leaderboards, image pixel storage, or mathematical computations.
A-Data Structures,Real-world Example (Record),Used in databases to represent entities such as employees, students, or customers.
A-Data Structures,Nested List,A list that contains other lists as elements, allowing for the representation of multidimensional data.
A-Data Structures,Array vs List,Arrays are fixed-size and store elements of one type; lists are dynamic and can store multiple data types.
A-Data Structures,Tuple vs List,Tuples are immutable and faster; lists are mutable and more flexible.
A-Data Structures,Record vs Array,Records can store mixed data types identified by field names, whereas arrays store elements of the same type using indices.
A-Data Structures,Data Type Consistency,Arrays enforce uniform data types, improving efficiency, while lists and records allow mixed types for flexibility.
A-Data Structures,Graph,A data structure made up of nodes (vertices) connected by edges. Graphs can represent networks such as roads, social media connections, or computer systems.
A-Data Structures,Vertex (Node),A fundamental unit in a graph that represents an entity, such as a city, user, or data point.
A-Data Structures,Edge,A connection between two vertices that shows a relationship or path between them.
A-Data Structures,Directed Graph (Digraph),A graph where edges have a direction, indicating a one-way relationship (e.g., A → B).
A-Data Structures,Undirected Graph,A graph where edges have no direction; connections go both ways (e.g., A—B).
A-Data Structures,Weighted Graph,A graph in which each edge has a numerical weight representing cost, distance, or time.
A-Data Structures,Unweighted Graph,A graph where all edges are treated equally, without weights.
A-Data Structures,Adjacent Nodes,Two nodes that are directly connected by an edge.
A-Data Structures,Path,A sequence of connected nodes representing a route from one node to another.
A-Data Structures,Cycle,A path that starts and ends at the same node without repeating other nodes along the way.
A-Data Structures,Connected Graph,A graph where there is a path between every pair of vertices.
A-Data Structures,Disconnected Graph,A graph containing at least two nodes that have no connecting path.
A-Data Structures,Adjacency Matrix,A 2D array representing graph connections; each cell stores 1 or weight if an edge exists, or 0 if not.
A-Data Structures,Adjacency List,A dictionary or list of lists where each key (node) stores a list of its connected nodes. More memory-efficient than a matrix for sparse graphs.
A-Data Structures,Traversal,The process of visiting all the nodes in a graph in a specific order to access or search for data.
A-Data Structures,Breadth-First Search (BFS),A traversal algorithm that explores all neighbours of a node before moving to the next level; uses a queue data structure.
A-Data Structures,Depth-First Search (DFS),A traversal algorithm that explores as far as possible along a branch before backtracking; uses a stack or recursion.
A-Data Structures,Queue (in BFS),Stores nodes that have been discovered but not yet explored. Ensures level-by-level exploration.
A-Data Structures,Stack (in DFS),Stores nodes as they are visited; supports last-in, first-out (LIFO) traversal order.
A-Data Structures,Tree,A special type of graph with a hierarchical structure where each node (except the root) has exactly one parent and no cycles exist.
A-Data Structures,Root Node,The topmost node in a tree; all other nodes descend from it.
A-Data Structures,Child Node,A node directly connected below another node (its parent).
A-Data Structures,Parent Node,A node that has one or more child nodes connected beneath it.
A-Data Structures,Leaf Node,A node with no children; represents the end of a branch in the tree.
A-Data Structures,Subtree,A smaller tree that exists within a larger tree, starting from any node as its root.
A-Data Structures,Binary Tree,A tree where each node has at most two children, commonly referred to as the left and right child.
A-Data Structures,Full Binary Tree,A binary tree in which every node has either two children or none.
A-Data Structures,Complete Binary Tree,A binary tree where all levels are filled except possibly the last, which is filled from left to right.
A-Data Structures,Binary Search Tree (BST),A type of binary tree where left child nodes contain smaller values and right child nodes contain larger values than the parent node.
A-Data Structures,Balanced Tree,A binary tree where the height difference between left and right subtrees of every node is minimal, improving search efficiency.
A-Data Structures,Traversal (Tree),The process of visiting each node in a tree in a specific order to access or modify data.
A-Data Structures,In-order Traversal,Visits the left subtree, then the root node, and finally the right subtree; used to retrieve sorted data in a BST.
A-Data Structures,Pre-order Traversal,Visits the root node first, followed by the left subtree and then the right subtree; useful for copying a tree.
A-Data Structures,Post-order Traversal,Visits the left subtree, then the right subtree, and finally the root node; useful for deleting or freeing memory.
A-Data Structures,Tree Height,The length of the longest path from the root node to a leaf node.
A-Data Structures,Tree Depth,The distance (number of edges) from the root node to a specific node.
