topic,keyword,definition
Object-Oriented Programming,Method Overloading,When multiple methods share the same name but have different parameters.
Object-Oriented Programming,Public,Attributes or methods that can be accessed from anywhere in the program.
Object-Oriented Programming,Private,Attributes or methods that can only be accessed within the same class.
Object-Oriented Programming,Protected,Attributes or methods that can be accessed within the class and its subclasses.
Object-Oriented Programming,Parent Class (Super Class),The class whose features are inherited by another class.
Object-Oriented Programming,Child Class (Subclass),The class that inherits properties and methods from a parent class.
Object-Oriented Programming,super(),A function used to call methods or constructors from the parent class within a child class.
Object-Oriented Programming,Encapsulation (Principle),"Protects data from being directly modified, improving security and integrity."
Object-Oriented Programming,Abstraction (Principle),Simplifies complexity by exposing only necessary parts of the code.
Object-Oriented Programming,Inheritance (Principle),Promotes reusability and allows extension of existing code without rewriting.
Object-Oriented Programming,Polymorphism (Principle),Enhances flexibility by allowing one interface to be used for multiple data types or actions.
Object-Oriented Programming,Overriding Example,Occurs when a subclass provides a specific implementation of a method that is already defined in its superclass.
Object-Oriented Programming,Overloading Example,Occurs when multiple methods have the same name but differ in parameter type or number.
Object-Oriented Programming,Getter and Setter Example,Methods used to retrieve and update private attributes to maintain encapsulation.
Object-Oriented Programming,Constructor Example,A special method that is automatically called when a new object is created to initialise data attributes.
Data Structures,Array,A fixed-size data structure that stores multiple items of the same data type under one variable name. Each element is accessed using an index starting from 0.
Data Structures,1D Array,"A one-dimensional array stores a list of data in a single line, such as [10, 20, 30, 40]. It allows easy sequential access but has a fixed length."
Data Structures,2D Array,"A two-dimensional array is a collection of rows and columns, similar to a table or matrix. Each element is accessed using two indices, e.g., array[row][column]."
Data Structures,Dynamic Array,"An array that can grow or shrink in size during runtime, allowing flexible memory use (as seen in languages like Python with lists)."
Data Structures,Static Array,An array with a fixed size defined at creation time. Memory cannot be adjusted once allocated.
Data Structures,Index,"The position of an element in an array or list. Indexing allows direct access to any element (e.g., array[2] retrieves the third item)."
Data Structures,Traversal,"The process of visiting and accessing each element in a data structure sequentially, typically using a loop."
Data Structures,Insertion (Array),"Adding a new element into an array at a specific index, which may require shifting elements to make space."
Data Structures,Deletion (Array),"Removing an element from an array, followed by shifting the remaining elements to fill the gap."
Data Structures,Advantages of Arrays,"Provide fast, direct access using indices and efficient storage for fixed-size collections."
Data Structures,Disadvantages of Arrays,"Fixed size; adding or removing elements requires shifting, which can be slow for large arrays."
Data Structures,List,"An ordered, dynamic collection of elements that can store different data types. Lists can grow or shrink as needed, unlike arrays."
Data Structures,Advantages of Lists,"Dynamic resizing, can store mixed data types, and supports built-in functions for easy manipulation."
Data Structures,Disadvantages of Lists,Slower access times compared to arrays due to dynamic memory management and type flexibility.
Data Structures,Tuple,"An ordered, immutable collection of elements. Once created, its elements cannot be modified. Ideal for storing fixed data like coordinates (x, y)."
Data Structures,Advantages of Tuples,"Faster than lists, use less memory, and are immutable for safety and reliability in fixed data storage."
Data Structures,Disadvantages of Tuples,"Cannot change, add, or remove items once created, limiting flexibility."
Data Structures,Record,"A data structure that stores related fields of possibly different data types under one name, e.g., a student record with name, age, and grade."
Data Structures,Field,"An individual piece of data within a record, representing one attribute of an entity (e.g., ‘Name’ or ‘Age’)."
Data Structures,Accessing Record Data,"Data is accessed using field names rather than indices, e.g., student.name or record['Age']."
Data Structures,Advantages of Records,Allow grouping of related but different data types; easier to understand and maintain structured information.
Data Structures,Disadvantages of Records,Cannot perform mathematical operations directly; less efficient for iterative numeric computations.
Data Structures,Mutable Data Structure,"A data structure that allows modification of its content after creation (e.g., lists, arrays)."
Data Structures,Immutable Data Structure,"A data structure whose content cannot be changed after creation (e.g., tuples, strings)."
Data Structures,Array Traversal Example,"For i in range(0, length): print(array[i]) – accesses each element in order."
Data Structures,Record Example,"student = {Name: 'Alice', Age: 17, Grade: 'A'} – demonstrates how different data types can be stored together."
Data Structures,Real-world Example (Array),"Used in game leaderboards, image pixel storage, or mathematical computations."
Data Structures,Real-world Example (Record),"Used in databases to represent entities such as employees, students, or customers."
Data Structures,Nested List,"A list that contains other lists as elements, allowing for the representation of multidimensional data."
Data Structures,Array vs List,Arrays are fixed-size and store elements of one type; lists are dynamic and can store multiple data types.
Data Structures,Tuple vs List,Tuples are immutable and faster; lists are mutable and more flexible.
Data Structures,Record vs Array,"Records can store mixed data types identified by field names, whereas arrays store elements of the same type using indices."
Data Structures,Data Type Consistency,"Arrays enforce uniform data types, improving efficiency, while lists and records allow mixed types for flexibility."
Data Structures,Graph,"A data structure made up of nodes (vertices) connected by edges. Graphs can represent networks such as roads, social media connections, or computer systems."
Data Structures,Vertex (Node),"A fundamental unit in a graph that represents an entity, such as a city, user, or data point."
Data Structures,Edge,A connection between two vertices that shows a relationship or path between them.
Data Structures,Directed Graph (Digraph),"A graph where edges have a direction, indicating a one-way relationship (e.g., A → B)."
Data Structures,Undirected Graph,"A graph where edges have no direction; connections go both ways (e.g., A—B)."
Data Structures,Weighted Graph,"A graph in which each edge has a numerical weight representing cost, distance, or time."
Data Structures,Unweighted Graph,"A graph where all edges are treated equally, without weights."
Data Structures,Adjacent Nodes,Two nodes that are directly connected by an edge.
Data Structures,Path,A sequence of connected nodes representing a route from one node to another.
Data Structures,Cycle,A path that starts and ends at the same node without repeating other nodes along the way.
Data Structures,Connected Graph,A graph where there is a path between every pair of vertices.
Data Structures,Disconnected Graph,A graph containing at least two nodes that have no connecting path.
Data Structures,Adjacency Matrix,"A 2D array representing graph connections; each cell stores 1 or weight if an edge exists, or 0 if not."
Data Structures,Adjacency List,A dictionary or list of lists where each key (node) stores a list of its connected nodes. More memory-efficient than a matrix for sparse graphs.
Data Structures,Traversal,The process of visiting all the nodes in a graph in a specific order to access or search for data.
Data Structures,Breadth-First Search (BFS),A traversal algorithm that explores all neighbours of a node before moving to the next level; uses a queue data structure.
Data Structures,Depth-First Search (DFS),A traversal algorithm that explores as far as possible along a branch before backtracking; uses a stack or recursion.
Data Structures,Queue (in BFS),Stores nodes that have been discovered but not yet explored. Ensures level-by-level exploration.
Data Structures,Stack (in DFS),"Stores nodes as they are visited; supports last-in, first-out (LIFO) traversal order."
Data Structures,Tree,A special type of graph with a hierarchical structure where each node (except the root) has exactly one parent and no cycles exist.
Data Structures,Root Node,The topmost node in a tree; all other nodes descend from it.
Data Structures,Child Node,A node directly connected below another node (its parent).
Data Structures,Parent Node,A node that has one or more child nodes connected beneath it.
Data Structures,Leaf Node,A node with no children; represents the end of a branch in the tree.
Data Structures,Subtree,"A smaller tree that exists within a larger tree, starting from any node as its root."
Data Structures,Binary Tree,"A tree where each node has at most two children, commonly referred to as the left and right child."
Data Structures,Full Binary Tree,A binary tree in which every node has either two children or none.
Data Structures,Complete Binary Tree,"A binary tree where all levels are filled except possibly the last, which is filled from left to right."
Data Structures,Binary Search Tree (BST),A type of binary tree where left child nodes contain smaller values and right child nodes contain larger values than the parent node.
Data Structures,Balanced Tree,"A binary tree where the height difference between left and right subtrees of every node is minimal, improving search efficiency."
Data Structures,Traversal (Tree),The process of visiting each node in a tree in a specific order to access or modify data.
Data Structures,In-order Traversal,"Visits the left subtree, then the root node, and finally the right subtree; used to retrieve sorted data in a BST."
Data Structures,Pre-order Traversal,"Visits the root node first, followed by the left subtree and then the right subtree; useful for copying a tree."
Data Structures,Post-order Traversal,"Visits the left subtree, then the right subtree, and finally the root node; useful for deleting or freeing memory."
Data Structures,Tree Height,The length of the longest path from the root node to a leaf node.
Data Structures,Tree Depth,The distance (number of edges) from the root node to a specific node.
Data Structures,Advantages of Trees,"Efficient searching, hierarchical data organisation, and fast insertion/deletion in BSTs."
Data Structures,Disadvantages of Trees,"Can become unbalanced, leading to inefficient operations (O(n) time)."
Data Structures,Graph vs Tree,"All trees are graphs, but not all graphs are trees. Trees have no cycles and exactly one path between any two nodes."
Data Structures,Binary Tree Example,"Used in file systems, decision trees, and hierarchical databases."
Data Structures,Graph Example,"Used in social networks, web page ranking, and shortest path algorithms like Dijkstra’s and A*."
Data Structures,Hashing,The process of applying a mathematical algorithm (hash function) to a key field to transform it into a numerical address where data is stored in a table.
Data Structures,Purpose of Hashing,"Allows data to be accessed quickly without scanning the entire dataset, ideal for databases and lookup operations."
Data Structures,Hash Table,A data structure that stores key–value pairs. A hashing algorithm calculates the index in the table where each record is stored.
Data Structures,Hash Function,"A formula that converts a key into an index in the hash table, such as key mod table size. It determines the storage location for each entry."
Data Structures,Hash Address,"The result of applying the hash function, indicating where the record should be stored in the table."
Data Structures,Key Field,A unique field (like an ID or name) used as input to the hash function to determine where the record is stored.
Data Structures,Array Implementation,Hash tables are often implemented using arrays or lists where each index corresponds to a possible storage location.
Data Structures,String Hashing Example,Strings can be hashed by converting each character to its ASCII value and combining them. Example: 'CAB' → (67+65+66) mod 11 = 9.
Data Structures,Python Dictionary,Python’s built-in dictionary uses hashing to store key–value pairs for fast retrieval. Example: my_dict['name'] = 'Alice'.
Data Structures,Search Process in a Hash Table,"Apply the hash function to the key, access the resulting index, check for the item, and handle collisions if necessary."
Data Structures,Operations on Hash Tables,"Include creating a table, adding key–value pairs, searching for values, checking for existence, and calculating length."
Data Structures,Collision,Occurs when two different keys produce the same hash address and attempt to occupy the same table location.
Data Structures,Linear Probing,A collision resolution method where the algorithm checks the next available slot sequentially until it finds an empty one.
Data Structures,Chaining,A collision resolution method where each hash index stores a linked list of items that share the same hash value.
Data Structures,Load Factor,Indicates how full the hash table is. A high load factor increases the likelihood of collisions and reduces performance.
Data Structures,Time Complexity – Search,"In the ideal case O(1), but in the worst case with many collisions, performance can degrade to O(n)."
Data Structures,Time Complexity – Add,"Generally O(1), unless frequent collisions occur, which can increase lookup time."
Data Structures,Advantages of Hash Tables,"Fast data retrieval and insertion, efficient key-based access, and good scalability for large datasets."
Data Structures,Disadvantages of Hash Tables,"Susceptible to collisions, fixed size if not dynamically resized, and complex to implement compared to arrays or lists."
Data Structures,Comparison – Linked List vs Hash Table,"Linked Lists require O(n) for searching; Hash Tables achieve O(1) with good hashing. Hash Tables use index-based storage, while Linked Lists rely on pointers."
Data Structures,Example Use Cases,"Hash tables are used in databases, caches, symbol tables, and programming languages for variable lookup and memory management."
Data Structures,Linked List,A dynamic data structure made up of nodes connected using pointers. It can grow or shrink during runtime and stores data in non-contiguous memory locations.
Data Structures,Dynamic Data Structure,"A data structure that can change in size as elements are added or removed, unlike arrays which are fixed in size."
Data Structures,Ordered Linked List,"A linked list where nodes are arranged in a specific order, such as numerical or alphabetical order."
Data Structures,Unordered Linked List,"A linked list where elements are stored in the order they are inserted, without sorting."
Data Structures,Pointer,"A variable that stores the address of another variable or node in memory, linking one node to the next in a linked list."
Data Structures,Head (Start Pointer),A special pointer that always points to the first node in the list. Traversal begins here.
Data Structures,Null Pointer,A pointer value that indicates the end of a linked list (commonly represented as NULL or None).
Data Structures,Free Node Pointer,A pointer that keeps track of the next available memory location for a new node to be inserted.
Data Structures,Node,A basic building block of a linked list containing two parts: data (the stored value) and a pointer to the next node.
Data Structures,Getter and Setter Methods,Methods in object-oriented implementations used to access and modify the data and pointer fields of a node safely.
Data Structures,Linked List vs Array,"Linked lists are dynamic, non-contiguous, and allow efficient insertion/deletion; arrays are fixed in size, contiguous, and support direct indexing."
Data Structures,Insertion in Ordered List,Process of inserting a node at the correct position based on value order. Requires traversal and pointer adjustments to maintain order.
Data Structures,Insertion in Unordered List,Simpler process where new nodes can be inserted at the head or tail without maintaining any order. Fast and flexible for unsorted data.
Data Structures,Insertion at Head,"Creates a new node and links it to the current head, then updates the head pointer to this new node. Efficient with O(1) complexity."
Data Structures,Insertion at End,Traverses to the end of the list and adds a new node by updating the last node’s pointer. Useful in queue-like structures.
Data Structures,Deletion in Linked List,"Process of removing a node by updating the previous node’s pointer to skip over it, followed by freeing memory. No shifting required."
Data Structures,Searching in Linked List,Performed using linear search; start at the head and check each node sequentially until the value is found or the end is reached (O(n) time).
Data Structures,Traversal,"The process of visiting each node in a list sequentially to read or manipulate its data, usually starting from the head until NULL."
Data Structures,Advantages of Linked Lists,"Dynamic memory use, efficient insertion/deletion operations, and flexible data ordering."
Data Structures,Disadvantages of Linked Lists,"Extra memory overhead for pointers, no random access (must traverse sequentially), and more complex to implement than arrays."
Data Structures,Example Use – Ordered List,Used in maintaining sorted datasets such as alphabetical name lists or priority queues.
Data Structures,Example Use – Unordered List,"Used in situations where order doesn’t matter, such as managing recent activity logs or stacks."
Data Structures,Real-world Example,"Linked lists are used in memory management, undo operations, and dynamic data storage systems."
Data Structures,Linear Data Structure,"A structure where elements are arranged sequentially and processed in a specific order, such as stacks and queues."
Data Structures,Dynamic Size,Allows the structure to grow or shrink as items are added or removed during runtime.
Data Structures,Stack,"A LIFO (Last In, First Out) data structure where the most recently added element is the first to be removed."
Data Structures,LIFO Principle,"Last In, First Out – the most recent item added to the stack is the first to be removed."
Data Structures,Stack Pointer,A variable that indicates the position of the top element in the stack or the next free slot for insertion.
Data Structures,Push Operation,Adds a new element to the top of the stack. Checks for overflow before insertion.
Data Structures,Pop Operation,Removes and returns the element from the top of the stack. Checks for underflow before removal.
Data Structures,Peek Operation,Returns the top element of the stack without removing it.
Data Structures,isFull() (Stack),Checks whether the stack has reached its maximum capacity.
Data Structures,isEmpty() (Stack),Checks whether the stack contains no elements.
Data Structures,Stack Overflow,Occurs when a push operation is attempted on a full stack.
Data Structures,Stack Underflow,Occurs when a pop operation is attempted on an empty stack.
Data Structures,Stack PUSH Algorithm,"1. Check if full. 2. If not, increment top pointer. 3. Insert the new element at the top."
Data Structures,Stack POP Algorithm,"1. Check if empty. 2. If not, remove the top element. 3. Decrement top pointer."
Data Structures,Display Stack,"Loops from top to bottom, displaying all elements currently in the stack."
Data Structures,Stack Use Case – Undo Function,"Stacks store previous states, allowing actions to be undone in reverse order (e.g., Ctrl+Z)."
Data Structures,Queue,"A FIFO (First In, First Out) data structure where the first element added is the first to be removed."
Data Structures,FIFO Principle,"First In, First Out – items are processed in the same order they were inserted."
Data Structures,Front Pointer,Indicates where the next element will be removed in a queue.
Data Structures,Rear Pointer,Indicates where the next element will be added in a queue.
Data Structures,Enqueue Operation,Adds a new element to the rear of the queue after checking for overflow.
Data Structures,Dequeue Operation,Removes and returns the element at the front of the queue after checking for underflow.
Data Structures,isFull() (Queue),Checks if the queue has reached maximum capacity.
Data Structures,isEmpty() (Queue),Checks if the queue contains no elements.
Data Structures,Linear Queue,A basic queue where insertion happens at the rear and deletion happens at the front. Space can become wasted as elements are removed.
Data Structures,Circular Queue,A queue that connects the rear of the array back to the front to reuse freed space efficiently.
Data Structures,Circular Queue Enqueue,"If rear = max - 1, wrap around to 0. Insert new item and adjust pointers."
Data Structures,Circular Queue Dequeue,"If front = max - 1, wrap around to 0. Remove the item and adjust pointers."
Data Structures,Priority Queue,A queue where each element has a priority value. Higher priority items are dequeued first.
Data Structures,Priority Queue Operations,Insert elements with priority; remove the element with the highest priority first.
Data Structures,Priority Queue Use Case,"Used in CPU scheduling, network traffic control, and emergency systems."
Data Structures,Stack vs Queue,Stack uses LIFO order; Queue uses FIFO order. Stacks handle reversals; Queues handle sequencing.
Data Structures,Example – Stack in Programming,"Used in recursion, expression evaluation, and call stack management."
Data Structures,Example – Queue in Programming,"Used in buffering, scheduling, and order processing systems."
Data Structures,Big O – Stack Push/Pop,"Both operations are O(1) – constant time, as they affect only one end of the stack."
Data Structures,Big O – Queue Enqueue/Dequeue,Both are O(1) – constant time operations affecting front and rear pointers.
Data Structures,Search Complexity,"O(n) for both stacks and queues, as traversal is required to locate elements."
Algorithms,Dijkstra’s Algorithm,A shortest path algorithm that finds the minimum distance between nodes in a weighted graph.
Algorithms,Purpose of Dijkstra’s Algorithm,Calculates the shortest path from a starting node to all other nodes.
Algorithms,Weighted Graph,A graph where each edge has a numerical value (weight) representing distance or cost.
Algorithms,Visited Node,A node whose shortest distance from the start node has been finalised.
Algorithms,Unvisited Node,A node that has not yet been processed in the algorithm.
Algorithms,Current Node,The node currently being analysed in the algorithm.
Algorithms,Neighbouring Node,A node directly connected by an edge to the current node.
Algorithms,Infinity (∞),An initial placeholder value representing an unknown or infinitely large distance.
Algorithms,Dijkstra’s Algorithm Steps,"1. Start with distance 0 for start node, ∞ for others. 2. Choose node with smallest distance. 3. Update neighbour distances if shorter path found. 4. Mark node as visited. 5. Repeat until destination is visited."
Algorithms,A* (A-Star) Algorithm,An improvement on Dijkstra’s algorithm that adds a heuristic to estimate the remaining distance to the goal.
Algorithms,Heuristic (h),An estimated distance or cost from a node to the final destination.
Algorithms,g (Actual Distance),The total distance travelled from the start node to the current node.
Algorithms,f (Estimated Total Cost),The sum of the actual distance and heuristic: f = g + h.
Algorithms,A* Algorithm Steps,"1. Start at the beginning node. 2. For each neighbour, calculate f = g + h. 3. Add unvisited nodes to open list. 4. Choose node with lowest f value as current. 5. Stop when destination node is reached."
Algorithms,Open List,Nodes that are discovered but not yet visited.
Algorithms,Closed List,Nodes that have been visited and finalised.
Algorithms,Heuristic Function,"Function used to estimate the cost from a node to the goal (e.g., straight-line distance)."
Algorithms,Optimal Path,The path with the smallest total distance or cost.
Algorithms,Node (Vertex),A point in a graph representing an entity such as a city or location.
Algorithms,Edge,A connection between two nodes representing distance or cost.
Algorithms,Path,A sequence of connected nodes from start to destination.
Algorithms,Graph,A collection of nodes and edges representing a network of connections.
Algorithms,Complexity,The level of difficulty or number of operations required by an algorithm.
Algorithms,Comparison - Dijkstra vs A*,"Dijkstra: slower, no heuristic, checks all paths. A*: faster, uses heuristic, visits fewer nodes."
Algorithms,Purpose of A* Algorithm,Finds the most efficient path to the destination by using both actual and estimated distances.
Algorithms,Heuristic Advantage,Helps A* find a solution faster by guiding the search toward the goal.
Algorithms,Practical Use,"Used in GPS, network routing, and AI pathfinding systems."
Algorithms,Searching Algorithm,A method used by a computer to find a specific item in a data structure such as an array or list.
Algorithms,Linear Search,Checks each element one by one until the target item is found or the list ends. Works on unsorted lists.
Algorithms,Advantages of Linear Search,Simple and works on any list; efficient for small datasets.
Algorithms,Disadvantages of Linear Search,Inefficient for large lists as it must check each item.
Algorithms,Time Complexity of Linear Search,O(N) – Linear time.
Algorithms,Binary Search,Efficient search for sorted lists; repeatedly divides the list in half until the target is found.
Algorithms,Advantages of Binary Search,"Very efficient on large, sorted datasets."
Algorithms,Disadvantages of Binary Search,Requires the list to be sorted first.
Algorithms,Time Complexity of Binary Search,O(log N) – Logarithmic time.
Algorithms,Sorting Algorithm,"A method used to arrange data into a specific order, such as ascending or descending."
Algorithms,Bubble Sort,Compares and swaps adjacent items repeatedly until the list is sorted.
Algorithms,Advantages of Bubble Sort,Simple and easy to implement; useful for small datasets.
Algorithms,Disadvantages of Bubble Sort,Slow for large datasets; performs unnecessary passes even when sorted.
Algorithms,Time Complexity of Bubble Sort,O(N²) – Quadratic time.
Algorithms,Insertion Sort,Builds a sorted list one item at a time by inserting each new item into the correct position.
Algorithms,Advantages of Insertion Sort,Fast for small or nearly sorted lists; simple to code.
Algorithms,Disadvantages of Insertion Sort,Inefficient for large datasets; slower than merge sort.
Algorithms,Time Complexity of Insertion Sort,O(N²) – Quadratic time.
Algorithms,Merge Sort,"Uses divide and conquer to split, sort, and merge sublists into one sorted list."
Algorithms,Advantages of Merge Sort,Efficient for large datasets and guarantees O(N log N) performance.
Algorithms,Disadvantages of Merge Sort,Requires extra memory for temporary sublists.
Algorithms,Time Complexity of Merge Sort,O(N log N) – Linearithmic time.
Algorithms,Quick Sort,Uses divide and conquer with a pivot to partition data into smaller sublists which are recursively sorted.
Algorithms,Advantages of Quick Sort,Very fast on average; efficient for large datasets.
Algorithms,Disadvantages of Quick Sort,Can be inefficient with poor pivot selection; may cause stack overflow.
Algorithms,Time Complexity of Quick Sort,"Best: O(N log N), Average: O(N log N), Worst: O(N²)."
Algorithms,Big O Notation,Describes algorithm efficiency in terms of time or space as input size increases.
Algorithms,O(1),Constant time – performance unaffected by input size.
Algorithms,O(log N),"Logarithmic time – data size halves with each step (e.g., Binary Search)."
Algorithms,O(N),"Linear time – performance decreases proportionally to input size (e.g., Linear Search)."
Algorithms,O(N log N),"Linearithmic time – splits and sorts data efficiently (e.g., Merge Sort)."
Algorithms,O(N²),"Quadratic time – performance decreases rapidly (e.g., Bubble Sort)."
Algorithms,O(2ⁿ),"Exponential time – doubles with each additional input (e.g., recursive algorithms)."
Algorithms,Divide and Conquer,"A problem-solving technique that splits data into smaller parts, solves them, and combines results."
Algorithms,Algorithm Complexity,"A measure of an algorithm’s efficiency, considering time and memory usage."
